Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Included / International,Price / International,Compare At Price / International,Status
thetis-living-room-set,Thetis Living Room Set,"<meta charset=""utf-8""><span data-mce-fragment=""1"">You know your dad’s incredible vintage bomber jacket? The Nirvana dakota tan leather sofa is that jacket, but in couch form. With super-plush down-filled cushions, a corner-blocked wooden frame, and a leather patina that only gets better with age, the Nirvana will have you looking cool and feeling peaceful every time you take a seat. Looks pretty great with a sheepskin throw, if we may say so. With use, this leather will become softer and more wrinkled and the cushions will take on a lived-in look, like your favorite leather jacket.</span>",Comfortably,Furniture > Furniture Sets > Living Room Furniture Sets,Living Room Sets,"",true,Title,Default Title,,,,,SKU-0011,45359.237,shopify,10,deny,manual,900.00,,true,true,"",https://cdn.shopify.com/s/files/1/0581/0615/1044/products/living-room-4.jpg?v=1681095707,1,,false,,,,,,,,,,,,,,,,,lb,,,true,true,,,active
anime-tint-sofa,Anime Tint Sofa,"<meta charset=""utf-8""><span data-mce-fragment=""1"">You don’t have to go outside to be rugged. The Cigar rawhide sofa features a sturdy corner-blocked wooden frame and raw seams for that Malboro-person look. This brown leather sofa is cozy in a cottage, cabin, or a condo. And the leather (the leather!) becomes more beautiful with use: subtle character markings such as insect bites, healed scars, and grain variation reflects a real vintage. Saddle up and pass the remote.</span>",Comfortably,Furniture > Sofas,Sofas,"",true,Title,Default Title,,,,,SKU-0010,13607.7711,shopify,10,deny,manual,775.00,,true,true,"",https://cdn.shopify.com/s/files/1/0581/0615/1044/products/sofa-2.jpg?v=1681094405,1,,false,,,,,,,,,,,,,,,,,lb,,,true,true,,,active
ceni-living-room-set,Ceni Living Room Set,"<meta charset=""utf-8""><span data-mce-fragment=""1"">You don’t have to go outside to be rugged. The Cigar rawhide sofa features a sturdy corner-blocked wooden frame and raw seams for that Malboro-person look. This brown leather sofa is cozy in a cottage, cabin, or a condo. And the leather (the leather!) becomes more beautiful with use: subtle character markings such as insect bites, healed scars, and grain variation reflects a real vintage. Saddle up and pass the remote.</span>",Comfortably,Furniture > Furniture Sets > Living Room Furniture Sets,Living Room Sets,"",true,Title,Default Title,,,,,SKU-0009,18143.6948,shopify,10,deny,manual,720.00,,true,true,"",https://cdn.shopify.com/s/files/1/0581/0615/1044/products/living-room-5.jpg?v=1681095748,1,,false,,,,,,,,,,,,,,,,,lb,,,true,true,,,active
markus-bedroom-set,Markus Bedroom Set,"<meta charset=""utf-8""><span data-mce-fragment=""1"">You know your dad’s incredible vintage bomber jacket? The Nirvana dakota tan leather sofa is that jacket, but in couch form. With super-plush down-filled cushions, a corner-blocked wooden frame, and a leather patina that only gets better with age, the Nirvana will have you looking cool and feeling peaceful every time you take a seat. Looks pretty great with a sheepskin throw, if we may say so. With use, this leather will become softer and more wrinkled and the cushions will take on a lived-in look, like your favorite leather jacket.</span>",Comfortably,Furniture > Furniture Sets > Bedroom Furniture Sets,Bedroom Sets,"",true,Title,Default Title,,,,,SKU-0008,31751.4659,shopify,10,deny,manual,900.00,,true,true,"",https://cdn.shopify.com/s/files/1/0581/0615/1044/products/bedroom-1.jpg?v=1681095813,1,,false,,,,,,,,,,,,,,,,,lb,,,true,true,,,active
jameson-bedroom-set,Jameson Bedroom Set,"<meta charset=""utf-8""><span data-mce-fragment=""1"">You don’t have to go outside to be rugged. The Cigar rawhide sofa features a sturdy corner-blocked wooden frame and raw seams for that Malboro-person look. This brown leather sofa is cozy in a cottage, cabin, or a condo. And the leather (the leather!) becomes more beautiful with use: subtle character markings such as insect bites, healed scars, and grain variation reflects a real vintage. Saddle up and pass the remote.</span>",Comfortably,Furniture > Furniture Sets > Bedroom Furniture Sets,Bedroom Sets,"",true,Title,Default Title,,,,,SKU-0007,27215.5422,shopify,10,deny,manual,1230.00,,true,true,"",https://cdn.shopify.com/s/files/1/0581/0615/1044/products/bedroom-2.jpg?v=1681095854,1,,false,,,,,,,,,,,,,,,,,lb,,,true,true,,,active
levo-bedroom-set,Levo Bedroom Set,"<meta charset=""utf-8""><span data-mce-fragment=""1"">You don’t have to go outside to be rugged. The Cigar rawhide sofa features a sturdy corner-blocked wooden frame and raw seams for that Malboro-person look. This brown leather sofa is cozy in a cottage, cabin, or a condo. And the leather (the leather!) becomes more beautiful with use: subtle character markings such as insect bites, healed scars, and grain variation reflects a real vintage. Saddle up and pass the remote.</span>",Comfortably,Furniture > Furniture Sets > Bedroom Furniture Sets,Bedroom Sets,"",true,Title,Default Title,,,,,SKU-0006,18143.6948,shopify,10,deny,manual,600.00,,true,true,"",https://cdn.shopify.com/s/files/1/0581/0615/1044/products/bedroom-3.jpg?v=1681095899,1,,false,,,,,,,,,,,,,,,,,lb,,,true,true,,,active
embrace-dining-table-set,Embrace Dining Table Set,"<meta charset=""utf-8""><span data-mce-fragment=""1"">You don’t have to go outside to be rugged. The Cigar rawhide sofa features a sturdy corner-blocked wooden frame and raw seams for that Malboro-person look. This brown leather sofa is cozy in a cottage, cabin, or a condo. And the leather (the leather!) becomes more beautiful with use: subtle character markings such as insect bites, healed scars, and grain variation reflects a real vintage. Saddle up and pass the remote.</span>",Comfortably ,Furniture > Furniture Sets > Kitchen & Dining Furniture Sets,Dining Sets,"",true,Title,Default Title,,,,,SKU-0005,18143.6948,shopify,9,deny,manual,300.00,,true,true,"",https://cdn.shopify.com/s/files/1/0581/0615/1044/products/dining-table-1.jpg?v=1681096210,1,,false,,,,,,,,,,,,,,,,,lb,,,true,true,,,active
otis-dining-table-set,Otis Dining Table Set,"<meta charset=""utf-8""><span data-mce-fragment=""1"">You don’t have to go outside to be rugged. The Cigar rawhide sofa features a sturdy corner-blocked wooden frame and raw seams for that Malboro-person look. This brown leather sofa is cozy in a cottage, cabin, or a condo. And the leather (the leather!) becomes more beautiful with use: subtle character markings such as insect bites, healed scars, and grain variation reflects a real vintage. Saddle up and pass the remote.</span>",Comfortably,Furniture > Furniture Sets > Kitchen & Dining Furniture Sets,Dining Sets,"",true,Title,Default Title,,,,,SKU-0004,22679.6185,shopify,10,deny,manual,500.00,,true,true,"",https://cdn.shopify.com/s/files/1/0581/0615/1044/products/dining-table-2.jpg?v=1681096266,1,,false,,,,,,,,,,,,,,,,,lb,,,true,true,,,active
galaxy-dining-set,Galaxy Dining Set,"<meta charset=""utf-8""><span data-mce-fragment=""1"">Easy to love. The Sven in birch ivory looks cozy and refined, like a sweater that a fancy lady wears on a coastal vacation. This ivory loveseat has a tufted bench seat, loose back pillows and bolsters, solid walnut legs, and is ready to make your apartment the adult oasis you dream of. Nestle it with plants, an ottoman, an accent chair, or 8 dogs. Your call.</span>",Comfortably ,Furniture > Furniture Sets > Kitchen & Dining Furniture Sets,Dining Sets,"",true,Title,Default Title,,,,,SKU-0003,45359.237,shopify,10,deny,manual,800.00,,true,true,"",https://cdn.shopify.com/s/files/1/0581/0615/1044/products/dining-table-3.jpg?v=1681096411,1,,false,,,,,,,,,,,,,,,,,lb,,800.00,true,true,,,active
nord-dining-set,Nord Dining Set,"<meta charset=""utf-8""><span data-mce-fragment=""1"">You don’t have to go outside to be rugged. The Cigar rawhide sofa features a sturdy corner-blocked wooden frame and raw seams for that Malboro-person look. This brown leather sofa is cozy in a cottage, cabin, or a condo. And the leather (the leather!) becomes more beautiful with use: subtle character markings such as insect bites, healed scars, and grain variation reflects a real vintage. Saddle up and pass the remote.</span>",Comfortably ,Furniture > Furniture Sets > Kitchen & Dining Furniture Sets,Dining Sets,"",true,Title,Default Title,,,,,SKU-0002,68038.8555,shopify,10,deny,manual,825.00,,true,true,"",https://cdn.shopify.com/s/files/1/0581/0615/1044/products/dining-table-4.jpg?v=1681096431,1,,false,,,,,,,,,,,,,,,,,lb,,,true,true,,,active
jupiter-dining-set,Jupiter Dining Set,"<meta charset=""utf-8""><span data-mce-fragment=""1"">Stay a while. The Timber charme chocolat sofa is set atop an oak trim and flaunts fluffy leather back and seat cushions. Over time, this brown leather sofa’s full-aniline upholstery will develop a worn-in vintage look. Snuggle up with your cutie (animal or human) and dive into a bowl of popcorn. This sofa is really hard to leave. Natural color variations, wrinkles and creases are part of the unique characteristics of this leather. It will develop a relaxed vintage look with regular use.</span>",Comfortably ,Furniture > Furniture Sets > Kitchen & Dining Furniture Sets,Dining Sets,"",true,Title,Default Title,,,,,SKU-0001,68038.8555,shopify,10,deny,manual,1000.00,,true,true,"",https://cdn.shopify.com/s/files/1/0581/0615/1044/products/dining-table-5.jpg?v=1681096502,1,,false,,,,,,,,,,,,,,,,,lb,,,true,true,,,active
